Instruction Name,Description,Url
ADC, Add with Carry.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADC--Add-with-Carry-?lang=en
ADCS," Add with Carry, setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADCS--Add-with-Carry--setting-flags-?lang=en
ADD (extended register), Add (extended register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADD--extended-register---Add--extended-register--?lang=en
ADD (immediate), Add (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADD--immediate---Add--immediate--?lang=en
ADD (shifted register), Add (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADD--shifted-register---Add--shifted-register--?lang=en
ADDG, Add with Tag.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADDG--Add-with-Tag-?lang=en
ADDS (extended register)," Add (extended register), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADDS--extended-register---Add--extended-register---setting-flags-?lang=en
ADDS (immediate)," Add (immediate), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADDS--immediate---Add--immediate---setting-flags-?lang=en
ADDS (shifted register)," Add (shifted register), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADDS--shifted-register---Add--shifted-register---setting-flags-?lang=en
ADR, Form PC-relative address.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADR--Form-PC-relative-address-?lang=en
ADRP, Form PC-relative address to 4KB page.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ADRP--Form-PC-relative-address-to-4KB-page-?lang=en
AND (immediate), Bitwise AND (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AND--immediate---Bitwise-AND--immediate--?lang=en
AND (shifted register), Bitwise AND (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AND--shifted-register---Bitwise-AND--shifted-register--?lang=en
ANDS (immediate)," Bitwise AND (immediate), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ANDS--immediate---Bitwise-AND--immediate---setting-flags-?lang=en
ANDS (shifted register)," Bitwise AND (shifted register), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ANDS--shifted-register---Bitwise-AND--shifted-register---setting-flags-?lang=en
ASR (immediate), Arithmetic Shift Right (immediate): an alias of SBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ASR--immediate---Arithmetic-Shift-Right--immediate---an-alias-of-SBFM-?lang=en
ASR (register), Arithmetic Shift Right (register): an alias of ASRV.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ASR--register---Arithmetic-Shift-Right--register---an-alias-of-ASRV-?lang=en
ASRV, Arithmetic Shift Right Variable.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ASRV--Arithmetic-Shift-Right-Variable-?lang=en
AT, Address Translate: an alias of SYS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AT--Address-Translate--an-alias-of-SYS-?lang=en
"AUTDA, AUTDZA"," Authenticate Data address, using key A.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AUTDA--AUTDZA--Authenticate-Data-address--using-key-A-?lang=en
"AUTDB, AUTDZB"," Authenticate Data address, using key B.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AUTDB--AUTDZB--Authenticate-Data-address--using-key-B-?lang=en
"AUTIA, AUTIA1716, AUTIASP, AUTIAZ, AUTIZA"," Authenticate Instruction address, using key A.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AUTIA--AUTIA1716--AUTIASP--AUTIAZ--AUTIZA--Authenticate-Instruction-address--using-key-A-?lang=en
"AUTIB, AUTIB1716, AUTIBSP, AUTIBZ, AUTIZB"," Authenticate Instruction address, using key B.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AUTIB--AUTIB1716--AUTIBSP--AUTIBZ--AUTIZB--Authenticate-Instruction-address--using-key-B-?lang=en
AXFLAG, Convert floating-point condition flags from Arm to external format.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/AXFLAG--Convert-floating-point-condition-flags-from-Arm-to-external-format-?lang=en
B, Branch.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/B--Branch-?lang=en
B.cond, Branch conditionally.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/B-cond--Branch-conditionally-?lang=en
BFC, Bitfield Clear: an alias of BFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BFC--Bitfield-Clear--an-alias-of-BFM-?lang=en
BFI, Bitfield Insert: an alias of BFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BFI--Bitfield-Insert--an-alias-of-BFM-?lang=en
BFM, Bitfield Move.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BFM--Bitfield-Move-?lang=en
BFXIL, Bitfield extract and insert at low end: an alias of BFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BFXIL--Bitfield-extract-and-insert-at-low-end--an-alias-of-BFM-?lang=en
BIC (shifted register), Bitwise Bit Clear (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BIC--shifted-register---Bitwise-Bit-Clear--shifted-register--?lang=en
BICS (shifted register)," Bitwise Bit Clear (shifted register), setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BICS--shifted-register---Bitwise-Bit-Clear--shifted-register---setting-flags-?lang=en
BL, Branch with Link.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BL--Branch-with-Link-?lang=en
BLR, Branch with Link to Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BLR--Branch-with-Link-to-Register-?lang=en
"BLRAA, BLRAAZ, BLRAB, BLRABZ"," Branch with Link to Register, with pointer authentication.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BLRAA--BLRAAZ--BLRAB--BLRABZ--Branch-with-Link-to-Register--with-pointer-authentication-?lang=en
BR, Branch to Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BR--Branch-to-Register-?lang=en
"BRAA, BRAAZ, BRAB, BRABZ"," Branch to Register, with pointer authentication.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BRAA--BRAAZ--BRAB--BRABZ--Branch-to-Register--with-pointer-authentication-?lang=en
BRK, Breakpoint instruction.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BRK--Breakpoint-instruction-?lang=en
BTI, Branch Target Identification.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/BTI--Branch-Target-Identification-?lang=en
"CAS, CASA, CASAL, CASL", Compare and Swap word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CAS--CASA--CASAL--CASL--Compare-and-Swap-word-or-doubleword-in-memory-?lang=en
"CASB, CASAB, CASALB, CASLB", Compare and Swap byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CASB--CASAB--CASALB--CASLB--Compare-and-Swap-byte-in-memory-?lang=en
"CASH, CASAH, CASALH, CASLH", Compare and Swap halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CASH--CASAH--CASALH--CASLH--Compare-and-Swap-halfword-in-memory-?lang=en
"CASP, CASPA, CASPAL, CASPL", Compare and Swap Pair of words or doublewords in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CASP--CASPA--CASPAL--CASPL--Compare-and-Swap-Pair-of-words-or-doublewords-in-memory-?lang=en
